GEO_ID	NAME	DP05_0088E
Geography	Geographic Area Name	Estimate!!Total housing units
1600000US0665042	"San Buenaventura (Ventura) city, California"	43779
1600000US0666000	"San Diego city, California"	565401
1600000US0667000	"San Francisco city, California"	414553
1600000US0668000	"San Jose city, California"	344995
1600000US0668084	"San Leandro city, California"	30365
1600000US0668196	"San Marcos city, California"	32346
1600000US0668252	"San Mateo city, California"	40971
1600000US0668378	"San Ramon city, California"	31943
1600000US0669000	"Santa Ana city, California"	82395
1600000US0669070	"Santa Barbara city, California"	39008
1600000US0669084	"Santa Clara city, California"	52146
1600000US0669088	"Santa Clarita city, California"	75666
1600000US0669196	"Santa Maria city, California"	29910
1600000US0670000	"Santa Monica city, California"	47914
1600000US0670098	"Santa Rosa city, California"	72919
1600000US0672016	"Simi Valley city, California"	42252
1600000US0673080	"South Gate city, California"	26083
1600000US0675000	"Stockton city, California"	106904
1600000US0677000	"Sunnyvale city, California"	61301
1600000US0678120	"Temecula city, California"	36907
1600000US0678582	"Thousand Oaks city, California"	49680
1600000US0680000	"Torrance city, California"	58192
1600000US0680238	"Tracy city, California"	28338
1600000US0680644	"Tulare city, California"	22795
1600000US0680812	"Turlock city, California"	25960
1600000US0680854	"Tustin city, California"	27134
1600000US0681204	"Union City city, California"	22160
1600000US0681344	"Upland city, California"	27513
1600000US0681554	"Vacaville city, California"	35398
1600000US0681666	"Vallejo city, California"	47537
1600000US0682590	"Victorville city, California"	37710
1600000US0682954	"Visalia city, California"	49550
1600000US0682996	"Vista city, California"	34700
1600000US0683346	"Walnut Creek city, California"	32480
1600000US0684200	"West Covina city, California"	35198
1600000US0684550	"Westminster city, California"	29430
1600000US0685292	"Whittier city, California"	29928
1600000US0686832	"Yorba Linda city, California"	25136
1600000US0686972	"Yuba City city, California"	24329
1600000US0803455	"Arvada city, Colorado"	53188
1600000US0804000	"Aurora city, Colorado"	150920
1600000US0807850	"Boulder city, Colorado"	48446
1600000US0809280	"Broomfield city, Colorado"	32822
1600000US0812415	"Castle Rock town, Colorado"	30271
1600000US0812815	"Centennial city, Colorado"	42744
1600000US0816000	"Colorado Springs city, Colorado"	213240
1600000US0816495	"Commerce City city, Colorado"	21726
1600000US0820000	"Denver city, Colorado"	361212
1600000US0827425	"Fort Collins city, Colorado"	74820
1600000US0831660	"Grand Junction city, Colorado"	29602
1600000US0832155	"Greeley city, Colorado"	42635
1600000US0836410	"Highlands Ranch CDP, Colorado"	39990
1600000US0843000	"Lakewood city, Colorado"	73196
1600000US0845970	"Longmont city, Colorado"	44399
1600000US0846465	"Loveland city, Colorado"	33634
1600000US0862000	"Pueblo city, Colorado"	48377
1600000US0877290	"Thornton city, Colorado"	50985
1600000US0883835	"Westminster city, Colorado"	50338
1600000US0908000	"Bridgeport city, Connecticut"	60711
1600000US0918430	"Danbury city, Connecticut"	31578
1600000US0937000	"Hartford city, Connecticut"	57617
1600000US0950370	"New Britain city, Connecticut"	32915
1600000US0952000	"New Haven city, Connecticut"	61782
1600000US0955990	"Norwalk city, Connecticut"	38917
1600000US0973000	"Stamford city, Connecticut"	61802
1600000US0980000	"Waterbury city, Connecticut"	46201
1600000US1077580	"Wilmington city, Delaware"	36697
1600000US1150000	"Washington city, District of Columbia"	360862
1600000US1200410	"Alafaya CDP, Florida"	35263
1600000US1207300	"Boca Raton city, Florida"	48884
1600000US1207875	"Boynton Beach city, Florida"	45391
1600000US1208150	"Brandon CDP, Florida"	49576
1600000US1210275	"Cape Coral city, Florida"	99811
1600000US1212875	"Clearwater city, Florida"	61131
1600000US1214400	"Coral Springs city, Florida"	46470
1600000US1216475	"Davie town, Florida"	41044
1600000US1216525	"Daytona Beach city, Florida"	41417
