element_type,osmid,crossing,highway,geometry,nodes,access,name,tiger:cfcc,tiger:county,tiger:name_base,tiger:name_type,tiger:reviewed,bicycle,fixme,footway,store
way,10728464,,track,"LINESTRING (-118.8583997 34.2859753, -118.8569869 34.2861988, -118.854373 34.286427, -118.854087 34.286431, -118.853855 34.286434, -118.853464 34.286439, -118.852191 34.286457, -118.851806 34.286703, -118.850288 34.287673, -118.8450662 34.2892318, -118.8439208 34.2889896, -118.8420527 34.2896762, -118.8409747 34.2906687, -118.8407744 34.2906949)","[95426552, 95426553, 95426554, 95426555, 95426556, 95426557, 95426558, 95426559, 95426560, 95299623, 6561947766, 6561947764, 6561947765, 95266086]",private,Fairweather Crossing,A41,"Ventura, CA",Fairweather,Xing,no,,,,"Kohl's, 872 New Los Angeles Ave, Moorpark"
way,403187713,,footway,"LINESTRING (-118.8747366 34.2865173, -118.8747932 34.2866475, -118.874845 34.2868542, -118.874894 34.287086, -118.8749224 34.28728, -118.8749326 34.2875421, -118.8749331 34.2877695, -118.8749121 34.2880098, -118.8748785 34.2882381, -118.874846 34.2883983, -118.8748074 34.2884451)","[4055620223, 7790652681, 4055620246, 4055620247, 95241006, 4055620248, 4055620225, 4055620224, 4055620249, 95241005, 95241004]",,,A71,"Ventura, CA",,,no,yes,dos this really exist?,,"Kohl's, 872 New Los Angeles Ave, Moorpark"
way,834576230,traffic_signals,footway,"LINESTRING (-118.8747366 34.2865173, -118.874818 34.2865189, -118.874935 34.2865242, -118.8750538 34.2865313, -118.875006 34.2864271, -118.874978 34.2863601, -118.874893 34.2863536, -118.874774 34.2863442, -118.8746549 34.286331, -118.874698 34.2864259, -118.8747366 34.2865173)","[4055620223, 7790652672, 7790652673, 7790652674, 7790652675, 7790652676, 7790652677, 7790652678, 7790652679, 7790652680, 4055620223]",,,,,,,,yes,,crossing,"Kohl's, 872 New Los Angeles Ave, Moorpark"
way,1072121168,,cycleway,"LINESTRING (-118.8748074 34.2884451, -118.8747558 34.2886169, -118.8743921 34.2897306, -118.8733732 34.292843, -118.8732983 34.2931314, -118.8732519 34.2934039, -118.8732252 34.2937064, -118.8732269 34.2939772, -118.8732566 34.2943094)","[95241004, 95241001, 95240999, 95240996, 95240994, 95240993, 95240992, 95240991, 95240990]",,,A71,"Ventura, CA",,,no,,dos this really exist?,,"Kohl's, 872 New Los Angeles Ave, Moorpark"
