element_type,osmid,highway,geometry,source,source_ref,bus,name,network,network:wikidata,operator,operator:wikidata,public_transport,ref,shelter,nodes,lanes,tiger:cfcc,tiger:county,tiger:name_base,tiger:name_type,tiger:zip_left,tiger:zip_right,lanes:backward,lanes:forward,turn:lanes:backward,turn:lanes:forward,store,bench,bin,route_ref,source:highway,cycleway,lanes:both_ways,maxspeed,name_1,source:maxspeed,tiger:name_base_1,tiger:name_type_1,tiger:reviewed,oneway,surface,bridge,layer,stop_code,stop_name,access:lanes:both_ways,placement:both_ways,tiger:name_direction_prefix,note:lanes,placement:backward,turn:lanes,bicycle,tiger:name_direction_prefix_1,departures_board,lit,tactile_paving,network:wikipedia,operator:wikipedia,railway,subway,wheelchair,station,wikidata,description,sidewalk,area,level,location,tunnel,name:en,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,light_rail,tiger:zip_left_1,tiger:zip_right_1,cycleway:both,amenity,note,loc_ref,alt_name,parking:both,parking,parking:lane:left,parking:right,parking:lane:both,parking:lane:both:parallel,parking:condition:both,cycleway:right,cycleway:both:lane,incline,parking:condition:right,sidewalk:both:wheelchair,cycleway:right:lane,sidewalk:right:wheelchair,cutting,parking:condition:left,parking:lane:right,parking:lane:right:parallel,cycleway:left,sidewalk:left,sidewalk:right,foot,shoulder,lane_markings,smoothness,parking:lane:left:parallel,turn:lanes:both_ways,parking:left,parking:left:orientation,cycleway:left:lane,sidewalk:both,name:prefix,hgv,horse,motor_vehicle,parking:both:restriction,parking:lane:right:diagonal,check_date,building,internet_access,internet_access:fee,towards,tiger:linearid,tiger:mtfcc,tiger:zip,junction,old_ref,old_ref:legislative,parking:both:orientation,covered,railway:position,train,hgv:conditional,tiger:name_direction_suffix,placement:forward
way,13461449,tertiary,"LINESTRING (-118.3658932 34.0215603, -118.365898 34.0214406, -118.3659055 34.0213139, -118.3659342 34.0209477, -118.365956 34.0206059, -118.3659841 34.020081, -118.3659917 34.0199682, -118.365998 34.0197275, -118.3660322 34.019167, -118.3660492 34.0188585, -118.3660671 34.0184598, -118.366072 34.0183518)",,,,Hauser Boulevard,,,,,,,,"[302759278, 8822448761, 123702717, 2382881076, 2382881536, 2382881503, 2382880978, 2382881413, 2382881492, 2382881108, 10049332442, 123624753]",,A41,"Los Angeles, CA",Hauser,Blvd,90008,90016,,,,,"Target, 3535 S La Cienega Blvd, Los Angeles",,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,159257760,tertiary,"LINESTRING (-118.3626537 34.0324805, -118.3626946 34.0323716, -118.3627004 34.0323575, -118.3628194 34.0320548, -118.362974 34.031648, -118.3632614 34.0309457, -118.363556 34.030186, -118.3638513 34.0294258, -118.364156 34.0286691, -118.364457 34.0279083)",,,,Hauser Boulevard,,,,,,,,"[123408925, 9528799214, 8157790794, 612113446, 123079243, 122946928, 122676197, 123613554, 122798709, 123581028]",,A41,"Los Angeles, CA",Hauser,Blvd,90016,90016,,,,,"Target, 3535 S La Cienega Blvd, Los Angeles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,159257769,tertiary,"LINESTRING (-118.3776103 34.0267519, -118.3777345 34.0268088, -118.3780238 34.0268411, -118.3797494 34.0269983)",usgs_imagery,,,National Boulevard,,,,,,,,"[122734145, 9668784304, 7597348348, 9476145868]",2,,,,,,,,,,,"Target, 3535 S La Cienega Blvd, Los Angeles",,,,,,,,,,,,,yes,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,159762584,tertiary,"LINESTRING (-118.356889 34.0183265, -118.3571846 34.0183305, -118.3579645 34.0183327, -118.3581468 34.0183332, -118.3583627 34.0183272, -118.3585251 34.0183175, -118.3587255 34.0183, -118.3589463 34.0182701, -118.3591665 34.0182342, -118.3596112 34.0181383, -118.359875 34.0180896, -118.3600839 34.0180618, -118.3601536 34.0180525, -118.3601934 34.0180484, -118.3602583 34.0180449, -118.3604905 34.0180323, -118.3607914 34.0180264, -118.3611609 34.0180482, -118.3612067 34.0180535, -118.3614722 34.0180879, -118.3615845 34.0181024, -118.361811 34.0181448, -118.3621224 34.0182196, -118.3622443 34.0182444, -118.3624574 34.0182802, -118.3627353 34.0183167, -118.3630017 34.0183357, -118.363108 34.0183376, -118.363215 34.0183356, -118.3640764 34.018338, -118.3650108 34.0183359, -118.3650471 34.0183358, -118.3659711 34.0183502, -118.366072 34.0183518)",,,,Coliseum Street,,,,,,,,"[123599701, 2382881487, 1718668528, 2382881003, 2382881937, 2382881206, 1618122298, 2382881934, 1718668456, 2382881193, 2382881259, 8140520573, 1718668542, 2382881547, 8140520572, 8140520571, 1718668449, 1718668521, 2382880812, 8327890473, 1718668481, 2382881060, 1718668525, 2382881109, 2382880778, 1718668503, 2382881519, 123287128, 2382881036, 122767324, 2382880972, 123624750, 10049332440, 123624753]",,A41,"Los Angeles, CA",Coliseum,St,90016,90016,,,,,"Target, 3535 S La Cienega Blvd, Los Angeles",,,,,,,30 mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,165782983,tertiary,"LINESTRING (-118.3781009 34.0343994, -118.3781279 34.0342808, -118.3782632 34.0336867, -118.3784514 34.0328602, -118.3786083 34.0321872, -118.3786919 34.0318042, -118.3787005 34.0317673, -118.3787632 34.0315181, -118.3788307 34.0312621, -118.3788382 34.0312328, -118.3788427 34.031163)",,,,La Cienega Avenue,,,,,,,,"[123247233, 705006755, 7451229851, 123247234, 123086526, 10801012750, 7227149977, 7509647749, 8157790739, 123247235, 123247236]",,A41,"Los Angeles, CA",La Cienega,Ave,90232,90232,,,,,"Target, 3535 S La Cienega Blvd, Los Angeles",,,,,,,,,,,,,,concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90034,90034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,227892106,tertiary,"LINESTRING (-118.3807015 34.0270849, -118.3822316 34.0272343)",usgs_imagery,,,National Boulevard,,,,,,,,"[317687752, 122734168]",2,,,,,,,,,,,"Target, 3535 S La Cienega Blvd, Los Angeles",,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,384152079,tertiary,"LINESTRING (-118.3788427 34.031163, -118.3788046 34.031048)",,,,La Cienega Avenue,,,,,,,,"[123247236, 3382245655]",,A41,"Los Angeles, CA",La Cienega,Ave,90232,90232,,,,,"Target, 3535 S La Cienega Blvd, Los Angeles",,,,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,90034,90034,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,384279655,tertiary,"LINESTRING (-118.364457 34.0279083, -118.3647693 34.0271144, -118.3648864 34.0268174, -118.364906 34.0267751, -118.3651733 34.0260902, -118.365204 34.0259793)",,,,Hauser Boulevard,,,,,,,,"[123581028, 5563479497, 7822094735, 5555671039, 7852002508, 284124502]",,A41,"Los Angeles, CA",Hauser,Blvd,90016,90016,,,,,"Target, 3535 S La Cienega Blvd, Los Angeles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,442335401,,"POLYGON ((-118.3725535 34.026423, -118.3725602 34.0263672, -118.372542 34.0263657, -118.3716717 34.0262943, -118.371665 34.0263501, -118.3725261 34.0264208, -118.3725535 34.026423))",,,,,LACMTA,,,,platform,,yes,"[4400284118, 4400284117, 4865480955, 4400284115, 4400284116, 8730242970, 4400284118]",,,,,,,,,,,,"Target, 3535 S La Cienega Blvd, Los Angeles",yes,yes,,,,,,,,,,,,,,1,,,,,,,,,,,,yes,yes,,,platform,,yes,,,,,yes,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,781380312,tertiary,"LINESTRING (-118.3807227 34.0270098, -118.3786808 34.0268203, -118.378191 34.0267736, -118.3777357 34.0267256, -118.3776103 34.0267519)",usgs_imagery,,,National Boulevard,,,,,,,,"[7295109468, 7295109442, 7295109464, 7295109465, 122734145]",2,,,,,,,,,,,"Target, 3535 S La Cienega Blvd, Los Angeles",,,,,,,,,,,,,yes,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,781380314,tertiary,"LINESTRING (-118.3768005 34.0266596, -118.376416 34.0266226, -118.3764041 34.0266212)","Bing, gps",,,National Boulevard,,,,,,,,"[9668784306, 2365232124, 7295109476]",5,,,,,,,2,3,,left|left|right,"Target, 3535 S La Cienega Blvd, Los Angeles",,,,,,,,,,,,,,concrete,yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,781380316,tertiary,"LINESTRING (-118.3764041 34.0266212, -118.3762814 34.0266102)","Bing, gps",,,National Boulevard,,,,,,,,"[7295109476, 7597320994]",5,,,,,,,2,3,,left|left|right,"Target, 3535 S La Cienega Blvd, Los Angeles",,,,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1028081350,tertiary,"LINESTRING (-118.3797494 34.0269983, -118.3807015 34.0270849)",usgs_imagery,,,National Boulevard,,,,,,,,"[9476145868, 317687752]",3,,,,,,,,,,,"Target, 3535 S La Cienega Blvd, Los Angeles",,,,,,,,,,,,,yes,asphalt,,,,,,,,,,left|none|none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1031979295,tertiary,"LINESTRING (-118.3847567 34.0273901, -118.3841852 34.0273332)",usgs_imagery,,,National Boulevard,,,,,,,,"[9510326688, 7295109472]",3,,,,,,,,,,,"Target, 3535 S La Cienega Blvd, Los Angeles",,,,,,,,,,,,,yes,asphalt,,,,,,,,,,||right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1031979297,tertiary,"LINESTRING (-118.3841852 34.0273332, -118.3841225 34.027327, -118.3840446 34.0273193, -118.3839324 34.0273081, -118.3832159 34.0272415)",usgs_imagery,,,National Boulevard,,,,,,,,"[7295109472, 7593719697, 9510326689, 7295109463, 7295109471]",2,,,,,,,,,,,"Target, 3535 S La Cienega Blvd, Los Angeles",,,,,,,,,,,,,yes,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1031979299,tertiary,"LINESTRING (-118.3815337 34.0270853, -118.3807227 34.0270098)",usgs_imagery,,,National Boulevard,,,,,,,,"[9510326690, 7295109468]",3,,,,,,,,,,,"Target, 3535 S La Cienega Blvd, Los Angeles",,,,,,,,,,,,,yes,asphalt,,,,,,,,,,||right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1036300719,tertiary,"LINESTRING (-118.3831917 34.0273207, -118.3841103 34.0274076, -118.3841616 34.0274124, -118.3848167 34.0274863, -118.3850019 34.0275143, -118.3851662 34.0275462, -118.3853725 34.027597, -118.3855324 34.0276527, -118.3857366 34.0277334, -118.3858814 34.0278033)",usgs_imagery,,,National Boulevard,,,,,,,,"[122554531, 7593719698, 122734170, 199663163, 7295109473, 7295109448, 627215696, 7295109449, 1285296059, 9489239484]",2,,,,,,,,,,,"Target, 3535 S La Cienega Blvd, Los Angeles",,,,,,,40 mph,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1036300721,tertiary,"LINESTRING (-118.3832159 34.0272415, -118.3828936 34.0272115, -118.3822569 34.0271524)",usgs_imagery,,,National Boulevard,,,,,,,,"[7295109471, 7295109470, 7295109469]",2,,,,,,,,,,,"Target, 3535 S La Cienega Blvd, Los Angeles",,,,,,,,,,,,,yes,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1052114969,tertiary,"LINESTRING (-118.377249 34.0267171, -118.3770149 34.0266935)",usgs_imagery,,,National Boulevard,,,,,,,,"[9668784303, 7295109466]",4,,,,,,,,,,,"Target, 3535 S La Cienega Blvd, Los Angeles",,,,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1052114970,tertiary,"LINESTRING (-118.3776103 34.0267519, -118.3775232 34.0267448, -118.377249 34.0267171)",usgs_imagery,,,National Boulevard,,,,,,,,"[122734145, 8713394976, 9668784303]",5,,,,,,,3,2,left|none|none,,"Target, 3535 S La Cienega Blvd, Los Angeles",,,,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1052114971,tertiary,"LINESTRING (-118.3770149 34.0266935, -118.3768005 34.0266596)","Bing, gps",,,National Boulevard,,,,,,,,"[7295109466, 9668784306]",4,,,,,,,,,,,"Target, 3535 S La Cienega Blvd, Los Angeles",,,,,,,,,,,,,,concrete,yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1097626174,tertiary,"LINESTRING (-118.3822569 34.0271524, -118.3815337 34.0270853)",usgs_imagery,,,National Boulevard,,,,,,,,"[7295109469, 9510326690]",2,,,,,,,,,,,"Target, 3535 S La Cienega Blvd, Los Angeles",,,,,,,,,,,,,yes,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1097626175,tertiary,"LINESTRING (-118.3822316 34.0272343, -118.3828718 34.0272901, -118.3831917 34.0273207)",usgs_imagery,,,National Boulevard,,,,,,,,"[122734168, 4821440226, 122554531]",2,,,,,,,,,,,"Target, 3535 S La Cienega Blvd, Los Angeles",,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5220413796,bus_stop,POINT (-118.3565578 33.8727524),,,yes,Artesia and Kingsdale,Metro Local;Torrance Transit;Beach Cities Transit,Q77610;Q7826932;Q4875696,Los Angeles County Metropolitan Transportation Authority,Q3259702,platform,,no,,,,,,,,,,,,,"Target, 1601 Kingsdale Ave, Redondo Beach",yes,yes,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5220413797,bus_stop,POINT (-118.351974 33.872704),,,yes,Artesia and Hawthorne,Metro Local;Torrance Transit,Q77610;Q7826932,Los Angeles County Metropolitan Transportation Authority,Q3259702,platform,,,,,,,,,,,,,,,"Target, 1601 Kingsdale Ave, Redondo Beach",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9287236230,bus_stop,POINT (-118.353777 33.8729718),,,yes,Artesia and Hawthorne,Torrance Transit,Q7826932,,,platform,,yes,,,,,,,,,,,,,"Target, 1601 Kingsdale Ave, Redondo Beach",yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10049831034,bus_stop,POINT (-118.368347 33.8727249),,,yes,,,,,,platform,320,yes,,,,,,,,,,,,,"Target, 1601 Kingsdale Ave, Redondo Beach",yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,timetable,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10049831035,bus_stop,POINT (-118.368394 33.8729876),,,yes,,,,,,platform,,no,,,,,,,,,,,,,"Target, 1601 Kingsdale Ave, Redondo Beach",yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,timetable,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10061817699,bus_stop,POINT (-118.352815 33.8682627),,,yes,Hawthorne & 179th,Metro Local;GTrans;Torrance Transit;Beach Cities Transit,Q77610;Q5522428;Q7826932;Q4875696,Los Angeles County Metropolitan Transportation Authority;City of Gardena,Q3259702;Q846409,platform,,no,,,,,,,,,,,,,"Target, 1601 Kingsdale Ave, Redondo Beach",yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10099438731,,POINT (-118.35664 33.8681135),,,yes,Redondo Beach Transit Center,,,,,station,,,,,,,,,,,,,,,"Target, 1601 Kingsdale Ave, Redondo Beach",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bus_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10312504106,bus_stop,POINT (-118.3487055 33.8758593),,,yes,Redondo Beach & Freeman,Metro Local;GTrans,Q77610;Q5522428,Los Angeles County Metropolitan Transportation Authority;City of Gardena,Q3259702;Q846409,platform,,no,,,,,,,,,,,,,"Target, 1601 Kingsdale Ave, Redondo Beach",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10312504107,bus_stop,POINT (-118.3485572 33.8756812),,,yes,Redondo Beach & Amie,Metro Local;GTrans,Q77610;Q5522428,Los Angeles County Metropolitan Transportation Authority;City of Gardena,Q3259702;Q846409,platform,,no,,,,,,,,,,,,,"Target, 1601 Kingsdale Ave, Redondo Beach",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10312504108,bus_stop,POINT (-118.3519126 33.8745597),,,yes,Redondo Beach & Hawthorne,Metro Local;GTrans,Q77610;Q5522428,Los Angeles County Metropolitan Transportation Authority;City of Gardena,Q3259702;Q846409,platform,,no,,,,,,,,,,,,,"Target, 1601 Kingsdale Ave, Redondo Beach",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10312600509,bus_stop,POINT (-118.3528237 33.8720951),,,yes,Hawthorne & Artesia,Metro Local;GTrans;Beach Cities Transit,Q77610;Q5522428;Q4875696,Los Angeles County Metropolitan Transportation Authority;City of Gardena,Q3259702;Q846409,platform,,no,,,,,,,,,,,,,"Target, 1601 Kingsdale Ave, Redondo Beach",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10312600510,bus_stop,POINT (-118.3524031 33.8684184),,,yes,Hawthorne & 179th,Torrance Transit,Q7826932,,,platform,,no,,,,,,,,,,,,,"Target, 1601 Kingsdale Ave, Redondo Beach",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10312600511,bus_stop,POINT (-118.3527992 33.8657103),,,yes,Hawthorne & 182nd,Metro Local;GTrans;Torrance Transit;Beach Cities Transit,Q77610;Q5522428;Q7826932;Q4875696,Los Angeles County Metropolitan Transportation Authority;City of Gardena,Q3259702;Q846409,platform,,no,,,,,,,,,,,,,"Target, 1601 Kingsdale Ave, Redondo Beach",yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10312600512,bus_stop,POINT (-118.352406 33.8653545),,,yes,Hawthorne & 182nd,Metro Local;Torrance Transit,Q77610;Q7826932,Los Angeles County Metropolitan Transportation Authority,Q3259702,platform,,no,,,,,,,,,,,,,"Target, 1601 Kingsdale Ave, Redondo Beach",yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10312600513,bus_stop,POINT (-118.3565263 33.8659231),,,yes,Kingsdale & 182nd,GTrans,Q5522428,City of Gardena,Q846409,platform,,no,,,,,,,,,,,,,"Target, 1601 Kingsdale Ave, Redondo Beach",no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10312600523,bus_stop,POINT (-118.357523 33.8729842),,,yes,Artesia & Firmona,Beach Cities Transit;Torrance Transit,Q4875696;Q7826932,,,platform,,yes,,,,,,,,,,,,,"Target, 1601 Kingsdale Ave, Redondo Beach",yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10312600524,bus_stop,POINT (-118.3540525 33.8656182),,,yes,182nd & Hawthorne,Metro Local,Q77610,Los Angeles County Metropolitan Transportation Authority,Q3259702,platform,,no,,,,,,,,,,,,,"Target, 1601 Kingsdale Ave, Redondo Beach",no,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,layover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10542394615,bus_stop,POINT (-118.3528032 33.8776992),,,yes,Hawthorne & 169th,Metro Local,Q77610,Los Angeles County Metropolitan Transportation Authority,Q3259702,platform,,no,,,,,,,,,,,,,"Target, 1601 Kingsdale Ave, Redondo Beach",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10542394616,bus_stop,POINT (-118.3523167 33.8774366),,,yes,Hawthorne & 169th,Metro Local,Q77610,Los Angeles County Metropolitan Transportation Authority,Q3259702,platform,,no,,,,,,,,,,,,,"Target, 1601 Kingsdale Ave, Redondo Beach",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10542394617,bus_stop,POINT (-118.3522984 33.87527),,,yes,Hawthorne & 171st,Metro Local,Q77610,Los Angeles County Metropolitan Transportation Authority,Q3259702,platform,,no,,,,,,,,,,,,,"Target, 1601 Kingsdale Ave, Redondo Beach",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10542394618,bus_stop,POINT (-118.3527966 33.8753812),,,yes,Hawthorne & 171st,Metro Local,Q77610,Los Angeles County Metropolitan Transportation Authority,Q3259702,platform,,no,,,,,,,,,,,,,"Target, 1601 Kingsdale Ave, Redondo Beach",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10595550468,bus_stop,POINT (-118.3569851 33.8680469),,,yes,Redondo Beach Transit Center,Beach Cities Transit,Q4875696,,,platform,,yes,,,,,,,,,,,,,"Target, 1601 Kingsdale Ave, Redondo Beach",yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10595550469,bus_stop,POINT (-118.357191 33.8680443),,,yes,Redondo Beach Transit Center,Metro Local,Q77610,Los Angeles County Metropolitan Transportation Authority,Q3259702,platform,,yes,,,,,,,,,,,,,"Target, 1601 Kingsdale Ave, Redondo Beach",yes,yes,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10595550470,bus_stop,POINT (-118.357413 33.868045),,,yes,Redondo Beach Transit Center,Metro Local,Q77610,Los Angeles County Metropolitan Transportation Authority,Q3259702,platform,,yes,,,,,,,,,,,,,"Target, 1601 Kingsdale Ave, Redondo Beach",yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
