element_type,osmid,highway,geometry,source,source_ref,bus,name,network,network:wikidata,operator,operator:wikidata,public_transport,ref,shelter,nodes,lanes,tiger:cfcc,tiger:county,tiger:name_base,tiger:name_type,tiger:zip_left,tiger:zip_right,lanes:backward,lanes:forward,turn:lanes:backward,turn:lanes:forward,store,bench,bin,route_ref,source:highway,cycleway,lanes:both_ways,maxspeed,name_1,source:maxspeed,tiger:name_base_1,tiger:name_type_1,tiger:reviewed,oneway,surface,bridge,layer,stop_code,stop_name,access:lanes:both_ways,placement:both_ways,tiger:name_direction_prefix,note:lanes,placement:backward,turn:lanes,bicycle,tiger:name_direction_prefix_1,departures_board,lit,tactile_paving,network:wikipedia,operator:wikipedia,railway,subway,wheelchair,station,wikidata,description,sidewalk,area,level,location,tunnel,name:en,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,light_rail,tiger:zip_left_1,tiger:zip_right_1,cycleway:both,amenity,note,loc_ref,alt_name,parking:both,parking,parking:lane:left,parking:right,parking:lane:both,parking:lane:both:parallel,parking:condition:both,cycleway:right,cycleway:both:lane,incline,parking:condition:right,sidewalk:both:wheelchair,cycleway:right:lane,sidewalk:right:wheelchair,cutting,parking:condition:left,parking:lane:right,parking:lane:right:parallel,cycleway:left,sidewalk:left,sidewalk:right,foot,shoulder,lane_markings,smoothness,parking:lane:left:parallel,turn:lanes:both_ways,parking:left,parking:left:orientation,cycleway:left:lane,sidewalk:both,name:prefix,hgv,horse,motor_vehicle,parking:both:restriction,parking:lane:right:diagonal,check_date,building,internet_access,internet_access:fee,towards,tiger:linearid,tiger:mtfcc,tiger:zip,junction,old_ref,old_ref:legislative,parking:both:orientation,covered,railway:position,train,hgv:conditional,tiger:name_direction_suffix,placement:forward
way,399532993,tertiary,"LINESTRING (-118.1110971 33.992608, -118.1111836 33.9924833)",image;survey;usgs_imagery,AM909_DSCP3484,,Bluff Road,,,,,,,,"[4709073648, 4022660069]",3,A41,"Los Angeles, CA",Bluff,Rd,90640,90640,2,1,left|,,"Walmart Supercenter, 8500 Washington Blvd, Pico Rivera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,399532994,tertiary,"LINESTRING (-118.1118475 33.9916446, -118.1119113 33.991563, -118.112179 33.9912252, -118.1122742 33.9910976, -118.1124626 33.9908866, -118.1126392 33.9907348, -118.1133442 33.9901309, -118.1140127 33.9895616, -118.1142851 33.9893291, -118.1144597 33.989159, -118.1145357 33.9890712, -118.1146832 33.9888941, -118.1148516 33.9886605, -118.1150613 33.9883096, -118.1153565 33.9876768, -118.1155165 33.987312, -118.1156081 33.9870467, -118.1157497 33.9865854, -118.115867 33.986075, -118.1159318 33.9840545, -118.1159461 33.9839629, -118.1159747 33.9838867, -118.1161284 33.9836208, -118.116453 33.9830667, -118.1164851 33.9829488, -118.1166247 33.9822556, -118.1166652 33.9820543, -118.1167046 33.9819983, -118.1167666 33.981967)",image;survey;usgs_imagery,AM909_DSCP3484,,Bluff Road,,,,,,,,"[4022660065, 5555610820, 5555611423, 864088700, 253403784, 8411202410, 123157479, 3368413298, 253403781, 7221822180, 7221833889, 253403778, 864088640, 123157481, 864088793, 253403766, 253403767, 864088610, 123157483, 864089078, 253403765, 864088545, 123157486, 253403786, 864088705, 2203981769, 253403785, 864088883, 123157489]",2,A41,"Los Angeles, CA",Bluff,Rd,90640,90640,,,,,"Walmart Supercenter, 8500 Washington Blvd, Pico Rivera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5357975743,bus_stop,POINT (-118.440243 34.2217627),,,yes,,,,,,platform,,no,,,,,,,,,,,,,"Walmart, 8333 Van Nuys Blvd, Panorama City",yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6276935135,bus_stop,POINT (-118.455115 34.2216366),,,yes,,,,,,platform,,no,,,,,,,,,,,,,"Walmart, 8333 Van Nuys Blvd, Panorama City",yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6276935137,bus_stop,POINT (-118.443193 34.2217408),,,yes,,,,,,platform,,no,,,,,,,,,,,,,"Walmart, 8333 Van Nuys Blvd, Panorama City",yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10760427194,bus_stop,POINT (-118.4403487 34.2255313),,,yes,Chase & Hazeltine,Metro Local,Q77610,Los Angeles County Metropolitan Transportation Authority,Q3259702,platform,,,,,,,,,,,,,,,"Walmart, 8333 Van Nuys Blvd, Panorama City",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10760427195,bus_stop,POINT (-118.4429882 34.2250389),,,yes,Chase & Katherine,Metro Local,Q77610,Los Angeles County Metropolitan Transportation Authority,Q3259702,platform,,,,,,,,,,,,,,,"Walmart, 8333 Van Nuys Blvd, Panorama City",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10760427196,bus_stop,POINT (-118.4458239 34.2248756),,,yes,Chase & Lennox,Metro Local,Q77610,Los Angeles County Metropolitan Transportation Authority,Q3259702,platform,,,,,,,,,,,,,,,"Walmart, 8333 Van Nuys Blvd, Panorama City",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10760427197,bus_stop,POINT (-118.448919 34.2242627),,,yes,Van Nuys & Chase,Metro Local;Metro Rapid,Q77610;Q75436,Los Angeles County Metropolitan Transportation Authority,Q3259702,platform,,yes,,,,,,,,,,,,,"Walmart, 8333 Van Nuys Blvd, Panorama City",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10760427198,bus_stop,POINT (-118.4483053 34.2214234),,,yes,Roscoe & Van Nuys,Metro Local,Q77610,Los Angeles County Metropolitan Transportation Authority,Q3259702,platform,,,,,,,,,,,,,,,"Walmart, 8333 Van Nuys Blvd, Panorama City",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10760427199,bus_stop,POINT (-118.4435985 34.2215039),,,yes,Roscoe & Wakefield,Metro Local,Q77610,Los Angeles County Metropolitan Transportation Authority,Q3259702,platform,,,,,,,,,,,,,,,"Walmart, 8333 Van Nuys Blvd, Panorama City",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10760427200,bus_stop,POINT (-118.4399471 34.2215234),,,yes,Roscoe & Hazeltine,Metro Local,Q77610,Los Angeles County Metropolitan Transportation Authority,Q3259702,platform,,,,,,,,,,,,,,,"Walmart, 8333 Van Nuys Blvd, Panorama City",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,11126800489,bus_stop,POINT (-118.4489155 34.2153607),,,yes,Van Nuys & Blythe,Metro Rapid;Metro Local;DASH,Q75436;Q77610;Q112028960,Los Angeles County Metropolitan Transportation Authority;Los Angeles Department of Transportation,Q3259702;Q3259703,platform,,yes,,,,,,,,,,,,,"Walmart, 8333 Van Nuys Blvd, Panorama City",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,11126800490,bus_stop,POINT (-118.4486051 34.2156208),,,yes,Van Nuys & Blythe,Metro Rapid;Metro Local,Q75436;Q77610,Los Angeles County Metropolitan Transportation Authority,Q3259702,platform,,,,,,,,,,,,,,,"Walmart, 8333 Van Nuys Blvd, Panorama City",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,11126800491,bus_stop,POINT (-118.448909 34.2182359),,,yes,Van Nuys & Lanark,Metro Local;DASH,Q77610;Q112028960,Los Angeles County Metropolitan Transportation Authority;Los Angeles Department of Transportation,Q3259702;Q3259703,platform,,yes,,,,,,,,,,,,,"Walmart, 8333 Van Nuys Blvd, Panorama City",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,11126800492,bus_stop,POINT (-118.4486645 34.2181917),,,yes,Van Nuys & Lanark,Metro Local;DASH,Q77610;Q112028960,Los Angeles County Metropolitan Transportation Authority;Los Angeles Department of Transportation,Q3259702;Q3259703,platform,,yes,,,,,,,,,,,,,"Walmart, 8333 Van Nuys Blvd, Panorama City",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,11126810505,bus_stop,POINT (-118.4489154 34.2207543),,,yes,Van Nuys & Roscoe,DASH,Q112028960,Los Angeles Department of Transportation,Q3259703,platform,,no,,,,,,,,,,,,,"Walmart, 8333 Van Nuys Blvd, Panorama City",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,11126810506,bus_stop,POINT (-118.4489234 34.2209841),,,yes,Van Nuys & Roscoe,Metro Local;Metro Rapid,Q77610;Q75436,Los Angeles County Metropolitan Transportation Authority,Q3259702,platform,,yes,,,,,,,,,,,,,"Walmart, 8333 Van Nuys Blvd, Panorama City",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,11126810507,bus_stop,POINT (-118.4486459 34.2222736),,,yes,Van Nuys & Roscoe,Metro Rapid;Metro Local;DASH,Q75436;Q77610;Q112028960,Los Angeles County Metropolitan Transportation Authority;Los Angeles Department of Transportation,Q3259702;Q3259703,platform,,yes,,,,,,,,,,,,,"Walmart, 8333 Van Nuys Blvd, Panorama City",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
